Rank,Surfer,In-degree,Num. Seasons,Num. Events,Degree per Event,Beta
1,Gabriel Medina,367,9,92,3.989130434782609,43.96771978021978
2,Mick Fanning,272,9,81,3.3580246913580245,36.093910256410254
3,Kelly Slater,201,10,105,1.9142857142857144,21.182387057387054
4,Joel Parkinson,151,9,94,1.6063829787234043,13.692475579975579
5,Julian Wilson,139,9,97,1.4329896907216495,13.477594627594629
6,Jordy Smith,142,10,107,1.3271028037383177,11.662912087912089
7,John John Florence,118,9,91,1.2967032967032968,10.001068376068375
8,Italo Ferreira,83,5,55,1.509090909090909,9.873397435897436
9,Filipe Toledo,96,7,75,1.28,9.416956654456655
10,Taj Burrow,96,7,65,1.476923076923077,8.731669719169718
